venue_name,identifier,maximumAttendeeCapacity
Rialto Square Theater,jambase:62754,1966
Primary Nightclub,jambase:70918,250
Sofar Sounds West Loop,jambase:9198781,
Robert’s Westside,jambase:11227440,
Auditorium Theatre,jambase:62175,3901
McAninch Arts Center at College of DuPage,jambase:69802,800
Cole’s Bar,jambase:380491,100
Hard Rock Casino Northern Indiana,jambase:7932165,2700
Huntington Bank Pavilion at Northerly Island,jambase:64649,9200
Credit Union 1 Amphitheatre,jambase:63037,2800
Soldier Field,jambase:62257,61500
Joe’s Live,jambase:2567256,2000
North Shore Center for the Performing Arts,jambase:69538,867
Cubby Bear Wrigleyville,jambase:63074,1000
Chop Shop,jambase:70553,450
Sofar Sounds The Loop,jambase:9198763,
Fitzgerald Side Bar,jambase:402873,500
Cahn Auditorium,jambase:363091,1000
The Venue at Horseshoe Casino,jambase:66447,3400
Wintrust Arena,jambase:3496592,10387
Constellation,jambase:69830,250
Old Town School of Folk Music,jambase:5844674,400
RocHaus,jambase:3557493,400
The Salt Shed,jambase:8392613,4000
Avondale Music Hall,jambase:5696810,350
The Vixen,jambase:8676067,1000
The Event Center at Rivers Casino Des Plaines,jambase:9129605,1000
The Town Bar and Grill,jambase:8163318,
Chicago Theatre,jambase:63671,3600
Durty Nellie’s Gastropub & Concert Hub,jambase:7631216,700
Carol’s Pub,jambase:372821,60
Egyptian Theatre,jambase:335770,1397
Raue Center For the Arts,jambase:386103,750
SideOuts,jambase:62731,
Peterson Park,jambase:378171,
Park West,jambase:62370,1000
Wrigley Field,jambase:66425,41649
The Hideout,jambase:73276,100
Reggie’s Music Joint,jambase:65853,110
Brauer House,jambase:72551,750
The Copernicus Center,jambase:372501,2000
Grant Park,jambase:66269,100000
Two Brothers’ Roundhouse,jambase:70377,
The Patio Theater,jambase:395372,1494
Mayfair Theatre at the Irish American Heritage Center,jambase:9849594,
House of Hope,jambase:380639,
Harris Theater,jambase:347697,1499
Judson & Moore Distillery,jambase:9585999,120
Epiphany Center for the Arts,jambase:346904,900
Sofar Sounds Lincoln Square,jambase:9198655,
The Gold Room Chicago,jambase:7961256,
Quarry Pub & Grill,jambase:7894731,
Montrose Saloon,jambase:357003,
Sofar Sounds Hermosa,jambase:11408686,
Sofar Sounds North/Clybourn,jambase:11079647,
Schubas,jambase:62173,200
Martyrs’,jambase:62121,320
Ravinia Pavilion,jambase:66056,5000
Arcada Theatre,jambase:73405,897
Arie Crown Theater,jambase:192593,4188
Promontory,jambase:71916,500
Sears Centre Arena,jambase:369449,11218
Union Park,jambase:65618,
Woodstock Opera House,jambase:62239,300
Douglas Park,jambase:2445494,
Fourth Presbyterian Church,jambase:67777,1000
UIC Forum,jambase:66495,
Downstairs (at Subterranean),jambase:3884139,100
SeatGeek Stadium,jambase:65900,
Hobart Art Theatre,jambase:3549465,425
Fairmont Chicago Millennium Park,jambase:346289,1000
Des Plaines Theater,jambase:338035,700
The Tree,jambase:396164,
LaPorte County Fair,jambase:65747,
The WC Social Club,jambase:6072429,700
Lakefront Green,jambase:5645097,
Willow Creek Community Church,jambase:375676,
GMan Tavern,jambase:193549,
Red Dog Grill,jambase:9785243,
Candela Bar And Grill,jambase:9423129,
Sofar Sounds Bridgeport,jambase:9416230,
The Listening Room at The Exchange,jambase:9365086,50
Sofar Sounds Ukrainian Village,jambase:9288722,
Sofar Sounds Old Town,jambase:9232566,
Sofar Sounds Wicker Park,jambase:9198784,
Sofar Sounds West Town,jambase:9198783,
Sofar Sounds Lincoln Park,jambase:9198654,
Sofar Sounds Fulton Market,jambase:9198607,
Cermak Hall,jambase:9124557,1350
Color Club,jambase:8751696,240
Le Nocturne Chicago,jambase:8014187,
Lincoln Square,jambase:73847,
The Burlington,jambase:67728,
The Mansion,jambase:373512,
Pick-Staiger Concert Hall,jambase:362411,
Ovation Chicago,jambase:11321943,
Sofar Sounds Avondale,jambase:10693546,
Vortex Spring,jambase:339114,
Sames Auto Arena,jambase:73334,10000
Walt Disney Concert Hall,jambase:63959,2265
Whisky A Go Go,jambase:63893,500
The Troubadour,jambase:62865,500
The Observatory,jambase:63068,550
Zebulon,jambase:3408663,250
The Moroccan Lounge,jambase:3432905,275
The Fonda Theatre,jambase:62535,1200
The Roxy Theatre,jambase:62438,500
Constellation Room,jambase:69203,250
Kia Forum,jambase:66847,17505
House of Blues,jambase:62722,2200
Teragram Ballroom,jambase:73662,600
The Venice West,jambase:5311164,250
Belasco Theater,jambase:70025,1000
Gold Diggers,jambase:4334424,175
Ventura Music Hall,jambase:8197661,635
The Wiltern,jambase:62766,1850
The Canyon Agoura Hills,jambase:2301327,610
El Rey Theatre,jambase:62384,771
Echoplex,jambase:64280,780
Sofar Sounds Los Angeles,jambase:9198852,
Segerstrom Concert Hall,jambase:68065,3000
Hollywood Palladium,jambase:62932,5000
Alex’s Bar,jambase:63385,178
1720,jambase:3764321,700
Honda Center,jambase:62159,18336
Regent Theatre,jambase:67270,700
The Canyon Montclair,jambase:5514693,1300
Yaamava’ Theater,jambase:9099520,3000
YouTube Theater,jambase:7712182,6000
The Glass House,jambase:62412,800
Scherr Forum Theatre,jambase:192938,394
The Parish at House of Blues Anaheim,jambase:2809950,400
Permanent Records,jambase:193254,20
The Bellwether,jambase:10001134,1600
The Mint,jambase:62422,130
Catalina Jazz Club,jambase:73274,235
Lodge Room,jambase:3816603,500
Genghis Cohen,jambase:63036,50
Saint Rocke,jambase:66982,280
Transplants Brewing Company,jambase:7770569,348
Greek Theatre,jambase:62215,5870
Crypto.com Arena,jambase:62189,20000
The Theatre at Ace Hotel,jambase:70478,1600
Microsoft Theater,jambase:67456,7100
Sound Nightclub,jambase:70224,650
Pechanga Resort & Casino,jambase:73265,1090
Time Nightclub,jambase:2739235,740
UCLA Nimoy Theater,jambase:11459354,
Orpheum Theatre,jambase:63576,1976
Alchemy Works Harbor House,jambase:11159279,
Hollywood Bowl,jambase:62090,17500
The Novo,jambase:2267750,2400
Masonic Lodge At Hollywood Forever,jambase:68441,150
Garden Amp (Garden Grove Amphitheater),jambase:334133,540
Gaslamp Restaurant & Bar,jambase:67659,650
Luckman Fine Arts Complex,jambase:358014,1152
Fred Kavli Theatre,jambase:68365,1800
Saban Theatre,jambase:68006,1897
City National Grove Of Anaheim,jambase:64334,1700
Los Angeles County Fair,jambase:63308,
Academy LA,jambase:10358001,1400
The Majestic Ventura Theater,jambase:62187,1200
El Cid,jambase:64949,200
The Soraya,jambase:5903494,1700
Chain Reaction,jambase:63443,240
SoFi Stadium,jambase:5942532,70240
Station1640,jambase:4250519,450
Fox Theater,jambase:67350,1750
Exchange LA,jambase:68660,1700
Alex Theatre,jambase:65189,1400
The Wayfarer,jambase:71511,300
Toyota Arena,jambase:66138,11000
Silverlake Lounge,jambase:64458,178
Fox Performing Arts Center,jambase:67091,1646
Riverside Municipal Auditorium,jambase:63425,1400
Cerritos Center for the Performing Arts,jambase:63167,1721
The Bourbon Room,jambase:6527856,550
Hollywood Forever,jambase:66669,150
The Circle OC,jambase:3435286,1000
La Mirada Theatre,jambase:338190,1251
Shrine Auditorium & Expo Hall,jambase:63338,6300
Largo at the Coronet,jambase:73366,280
BMO Stadium,jambase:4266121,22000
Soka Performing Arts Center,jambase:5837648,1032
The Paramount,jambase:5900850,400
Vaqueros Nightclub,jambase:7945424,
